PlayerName,Height (meters),Citizenship 1,Age,Position,Position 2,Foot,Agent,ContractExpiration,nationality,Market Value (Euros),Highest Market Value (Euros),Year,Affiliation,League,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
Aaron Connolly,174,Ireland,23.0,Forward,Centre-Forward,Right,Elite Management Agency,2023-06-30,Ireland,5000000.0,7000000.0,2000,Brighton,Premier League,4,1,156,1.7,0.0,1.18,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,8.82,10.6,83.3,124.7,5.88,5.29,6.47,81.8,3.53,4.12,85.7,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,10.6,10.0,0.59,0.0,0.0,3.53,0.0,0.59,0.0,0.0,0.0,0.0,8.82,1.76,0.0,0.59,8.82,0.0,0.0,1.18,8.82,0.0,0.0,0.59,0.59,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,15.9,2.94,18.5,2.35,6.47,7.06,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.24,12.4,2.35,19.4,0.0,0.59,0.0,0.0,0.0,12.9,77.6,24.7,1.76,0.0,0.0,1.76,0.59,38.2,12.9,33.8,4.12,0.0,0.0,0.0,0.59,4.12,0.0,0.59,0.0,0.0,0.0,0.0,4.12,0.0,4.12,0.0
Aarón Martín,180,Spain,26.0,Defender,Left-Back,Left,BY AND FOR,2023-06-30,Spain,7000000.0,20000000.0,1997,Mainz 05,Bundesliga,28,25,2292,25.5,0.04,0.71,0.16,22.2,0.06,0.25,21.2,0.2,0.0,0.0,30.9,43.8,70.5,601.1,245.3,13.7,15.6,87.9,11.8,14.7,79.8,5.14,12.1,42.5,0.04,1.92,2.12,1.1,0.71,3.02,43.8,33.8,10.0,1.25,0.04,5.29,2.16,2.9,3.76,2.08,1.37,0.04,22.6,7.73,13.5,34.8,2.55,1.02,5.02,0.08,30.9,0.2,0.47,1.76,1.57,2.51,1.33,1.06,0.0,0.08,0.04,0.0,0.12,0.04,0.08,0.0,0.0,0.0,0.0,2.27,1.25,1.33,0.71,0.24,0.75,1.73,43.2,0.98,15.3,5.18,33.8,5.96,6.78,2.55,1.33,0.16,0.0,1.18,1.37,3.65,1.88,0.0,53.2,1.8,14.4,23.5,18.1,0.94,43.1,1.25,1.96,64.0,1.37,0.0,29.6,132.0,64.9,2.31,0.82,0.04,0.75,0.71,32.3,28.5,88.2,1.37,0.27,0.0,0.0,1.33,0.67,0.0,2.9,1.25,0.0,0.0,0.0,6.82,0.67,1.1,37.8
Abdoulaye Touré,188,France,29.0,Midfielder,Defensive Midfield,Right,No Agent,2025-06-30,France,1800000.0,10000000.0,1994,Genoa,Serie A,8,6,430,4.8,0.0,0.83,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,28.5,36.0,79.2,459.8,78.8,14.6,16.3,89.7,10.6,13.8,77.3,2.5,4.38,57.1,0.0,0.0,2.5,0.0,0.0,1.67,36.0,35.6,0.42,0.21,0.0,4.58,0.42,0.21,0.0,0.0,0.0,0.0,25.8,4.79,5.42,8.96,23.3,3.13,0.21,0.21,28.5,0.0,1.25,2.08,0.63,1.04,0.63,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.04,0.83,0.83,0.0,1.04,2.29,45.5,1.25,20.4,4.58,22.4,6.25,11.3,2.92,2.29,0.21,0.0,2.08,2.08,3.75,2.29,0.0,47.3,1.88,10.8,30.6,8.13,1.46,46.9,1.46,2.08,70.0,1.46,0.0,26.5,117.5,40.6,2.29,0.63,0.42,0.21,0.42,34.0,27.3,80.4,0.63,0.21,0.0,0.0,0.83,1.88,0.0,0.21,1.04,0.0,0.0,0.0,9.17,1.25,1.67,42.9
Abdourahmane Barry,185,France,23.0,Defender,Centre-Back,Right,Bernard Collignon,2025-06-30,France,500000.0,500000.0,2000,Greuther Fürth,Bundesliga,8,1,210,2.3,0.0,0.43,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,38.3,50.0,76.5,732.6,323.0,16.1,17.8,90.2,14.3,17.8,80.5,5.65,9.57,59.1,0.0,0.87,3.48,0.87,0.87,4.35,50.0,40.4,9.57,1.74,0.0,7.83,3.04,2.61,0.0,0.0,0.0,0.0,25.7,11.7,12.6,6.52,31.3,1.74,7.39,0.43,38.3,0.0,0.87,1.3,2.17,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,1.3,2.61,0.87,0.43,2.61,3.48,75.0,0.87,17.4,4.78,27.5,6.52,9.13,1.74,2.61,0.87,0.0,1.74,2.61,6.52,0.0,0.43,61.7,4.78,20.9,25.7,17.8,1.3,53.9,0.43,1.74,25.0,0.43,0.0,33.5,154.3,77.8,3.91,0.87,0.0,1.3,1.74,34.3,30.4,88.6,2.61,0.87,0.0,0.0,3.48,1.74,0.0,2.61,1.3,0.0,0.0,0.0,12.2,2.61,0.87,75.0
Adam Idah,190,Ireland,22.0,Forward,Centre-Forward,Right,Unique Sports Group,2024-06-30,Ireland,2000000.0,3000000.0,2001,Norwich City,Premier League,17,6,625,6.9,0.14,2.03,0.58,28.6,0.07,0.25,12.4,0.0,0.0,0.0,13.9,20.6,67.6,239.1,46.7,6.38,9.57,66.7,5.8,7.25,80.0,1.16,1.74,66.7,0.14,0.58,1.01,0.58,0.29,1.01,20.6,19.9,0.72,0.0,0.0,6.38,0.58,1.59,0.0,0.0,0.0,0.0,13.5,3.77,3.33,2.9,14.5,1.16,0.43,0.29,13.9,0.0,0.72,1.01,1.59,1.74,1.16,0.14,0.14,0.0,0.29,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.59,0.87,0.58,0.72,0.29,0.29,0.72,40.0,0.43,13.5,3.33,24.7,2.17,5.8,5.51,0.58,0.43,0.0,0.14,0.58,2.17,1.16,0.0,34.1,1.88,3.91,13.5,18.4,4.78,33.3,1.74,2.32,75.0,1.74,0.0,24.6,135.1,48.8,2.75,0.43,0.29,3.77,2.46,52.8,23.5,44.5,7.39,0.0,0.0,0.0,1.45,1.74,1.45,1.59,0.87,0.0,0.0,0.0,4.93,2.32,5.22,30.8
Adam Masina,191,Morocco,29.0,Defender,Left-Back,Left,Riccardo Calleri,2025-06-30,Morocco,2500000.0,7000000.0,1994,Watford,Premier League,15,13,1077,12.0,0.0,0.42,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,31.7,45.0,70.4,669.3,303.7,9.17,10.7,85.9,16.2,20.4,79.2,5.83,12.8,45.5,0.08,0.67,2.25,0.58,0.42,2.67,45.0,35.4,9.58,0.92,0.0,5.5,1.67,1.5,0.42,0.25,0.17,0.0,19.8,8.33,16.8,27.3,5.5,2.67,8.25,0.08,31.7,0.08,1.17,1.25,1.0,0.92,0.5,0.25,0.0,0.0,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,2.0,1.17,0.92,1.0,0.08,0.83,2.5,33.3,1.67,13.5,3.75,27.8,6.08,5.83,1.58,2.42,0.5,0.0,1.92,2.58,4.58,3.42,0.0,55.7,5.5,21.9,25.9,9.75,0.25,46.4,0.67,0.83,80.0,0.67,0.0,27.5,114.5,60.9,2.0,0.58,0.0,0.5,0.5,28.3,26.3,93.2,0.42,0.0,0.0,0.0,1.58,0.42,0.0,1.5,1.17,0.0,0.08,0.0,7.75,2.5,1.25,66.7
Adama Traoré,178,Spain,27.0,Forward,Right Winger,Right,Gestifute,2023-06-30,Spain,12000000.0,40000000.0,1996,Barcelona,La Liga,11,4,382,4.2,0.0,2.14,0.71,33.3,0.0,0.0,14.5,0.0,0.0,0.0,29.3,41.0,71.5,483.1,110.0,16.9,19.5,86.6,8.57,14.3,60.0,2.62,4.52,57.9,0.48,1.67,1.67,2.86,1.9,2.62,41.0,40.5,0.48,0.0,0.0,5.0,1.43,8.33,0.0,0.0,0.0,0.0,25.5,5.95,9.52,5.0,34.8,0.0,0.48,0.0,29.3,0.0,1.19,2.38,2.14,4.29,3.1,0.0,0.95,0.0,0.0,0.24,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.48,0.24,0.24,0.95,25.0,0.71,9.76,2.14,22.0,2.14,3.1,4.52,1.19,0.24,0.0,0.95,1.19,1.9,0.24,0.0,55.0,0.95,4.05,18.8,37.1,8.33,54.5,4.76,6.67,71.4,5.0,0.0,52.9,372.1,237.6,13.6,1.9,4.76,3.1,1.19,52.1,43.3,83.1,8.81,0.0,0.0,0.0,1.9,2.38,0.48,8.33,0.0,0.0,0.0,0.0,6.67,0.71,0.71,50.0
Adama Traoré,178,Spain,27.0,Forward,Right Winger,Right,Gestifute,2023-06-30,Spain,12000000.0,40000000.0,1996,Wolves,Premier League,20,10,1067,11.9,0.08,1.93,0.5,26.1,0.04,0.17,18.9,0.0,0.0,0.0,20.6,27.6,74.5,354.9,66.7,10.5,13.4,78.6,7.14,9.5,75.2,2.61,3.45,75.6,0.0,1.6,1.43,1.26,0.59,1.93,27.6,27.5,0.17,0.0,0.0,6.22,0.76,2.35,0.0,0.0,0.0,0.0,19.4,3.45,4.79,4.37,21.4,0.5,0.17,0.25,20.6,0.08,0.76,1.01,1.68,4.2,2.52,0.0,1.01,0.0,0.5,0.17,0.17,0.08,0.0,0.0,0.0,0.08,0.0,1.01,0.76,0.59,0.17,0.25,0.17,0.76,22.2,0.59,11.8,3.53,30.0,3.11,5.71,2.94,0.67,0.08,0.0,0.59,0.34,1.34,0.17,0.0,41.8,0.42,4.79,19.5,23.4,4.71,41.6,5.13,7.06,72.6,5.29,0.08,40.1,303.3,191.3,8.15,2.61,2.44,3.11,2.94,53.0,33.1,62.4,6.13,0.0,0.0,0.0,1.09,3.36,0.76,2.35,0.76,0.0,0.0,0.0,5.38,1.01,2.18,31.6
Adnan Januzaj,186,Belgium,28.0,Forward,Right Winger,Left,Rafaela Pimenta,2023-06-30,Belgium,7000000.0,15000000.0,1995,Real Sociedad,La Liga,33,17,1625,18.1,0.17,2.21,0.72,32.5,0.03,0.08,22.7,0.5,0.11,0.11,26.4,40.7,64.9,535.1,187.4,11.7,14.3,82.2,9.28,12.3,75.7,4.92,12.2,40.5,0.0,1.82,2.98,1.66,0.66,4.09,40.7,33.3,7.4,2.27,0.33,8.4,4.09,3.2,4.59,1.82,2.04,0.17,24.1,5.47,11.0,34.0,5.3,0.28,0.44,0.11,26.4,0.39,2.04,1.77,2.1,3.65,1.88,0.99,0.28,0.39,0.11,0.0,0.33,0.06,0.0,0.06,0.17,0.06,0.0,0.99,0.55,0.11,0.5,0.39,0.17,0.94,17.6,0.77,10.6,3.2,30.4,2.43,5.03,3.09,1.22,0.17,0.0,1.05,0.94,1.93,0.77,0.0,58.2,1.05,6.08,26.5,30.2,3.43,51.2,2.38,4.7,50.6,2.65,0.22,43.6,212.6,123.1,8.12,2.43,0.83,3.37,3.43,49.7,41.5,83.4,5.58,0.28,0.0,0.0,1.55,3.37,0.22,3.2,0.55,0.06,0.0,0.0,4.97,0.72,1.27,36.1
Adrien Rabiot,188,France,28.0,Midfielder,Central Midfield,Left,No Agent,2023-06-30,France,30000000.0,50000000.0,1995,Juventus,Serie A,32,28,2285,25.4,0.0,1.02,0.28,26.9,0.0,0.0,16.8,0.0,0.0,0.0,33.9,41.0,82.7,588.4,142.4,14.8,17.4,85.3,14.9,17.1,86.9,3.35,4.57,73.3,0.08,0.79,2.24,0.59,0.2,2.4,41.0,39.8,1.22,0.98,0.0,7.68,0.31,0.79,0.0,0.0,0.0,0.0,31.3,4.92,4.8,26.5,10.0,2.17,0.24,0.39,33.9,0.04,0.55,0.87,1.18,1.54,1.26,0.0,0.12,0.08,0.08,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,2.91,2.13,1.77,0.91,0.24,0.55,1.3,42.4,0.75,22.7,7.4,32.6,8.66,10.6,3.43,2.09,0.43,0.0,1.65,1.26,4.17,1.14,0.04,53.0,3.7,14.7,28.5,14.0,2.32,51.8,0.98,1.54,64.1,1.02,0.0,34.6,232.7,108.0,4.21,1.77,0.47,1.22,1.22,39.4,34.5,87.5,2.48,0.2,0.0,0.0,1.89,1.18,0.16,0.79,2.13,0.0,0.04,0.0,8.46,2.13,1.22,63.5
