epoca,liga,equipa,classificacao
2018,Bundesliga,Bayern,1
2018,Bundesliga,Schalde,2
2018,Bundesliga,Hoffenheim,3
2018,Bundesliga,Dortmund,4
2018,Bundesliga,Leverkusen,5
2018,Bundesliga,RB Leipzig,6
2018,Bundesliga,Stuttgart,7
2018,Bundesliga,Frankfurt,8
2018,Bundesliga,Monchengladbach,9
2018,Bundesliga,Hertha,10
2018,Bundesliga,Bremen,11
2018,Bundesliga,Augsburg,12
2018,Bundesliga,Hannover,13
2018,Bundesliga,Mainz,14
2018,Bundesliga,Freiburg,15
2018,Bundesliga,Wolfsburg,16
2018,Bundesliga,Hamburger SV,17
2018,Bundesliga,FC Koin,18
