PlayerName,Affiliation,League,Height (meters),Citizenship 1,Age,Position,Position 2,Foot,Agent,ContractExpiration,nationality,Market Value (Euros),Highest Market Value (Euros),Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
Henrique,Fc Girondins Bordeaux,Ligue 1,189,Brazil,40.0,Defender,Centre-Back,Right,No Agent,,Brazil,1000000.0,3000000.0,1994,18,12,1105,12.3,0.0,0.41,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,57.1,65.9,86.7,875.0,265.4,31.1,33.8,92.1,21.5,24.6,87.5,3.01,5.04,59.7,0.08,0.81,1.79,0.73,0.33,3.01,65.9,56.3,9.59,0.65,0.0,8.21,0.16,1.54,0.08,0.0,0.0,0.0,46.2,12.0,7.72,48.9,4.15,1.87,8.86,0.33,57.1,0.24,0.57,1.54,1.06,1.38,1.3,0.0,0.0,0.0,0.08,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,1.71,0.89,1.22,0.33,0.16,0.41,1.3,31.3,0.89,12.2,3.41,28.0,4.88,4.39,2.93,1.95,0.16,0.0,1.79,1.54,3.25,1.54,0.0,75.4,1.71,20.4,41.4,18.9,1.71,66.1,0.73,1.3,56.3,0.89,0.08,48.6,224.2,134.1,5.53,2.03,0.41,0.57,1.14,53.7,49.0,91.4,1.79,0.24,0.0,0.0,1.3,1.3,0.0,1.54,0.89,0.0,0.0,0.0,8.78,2.03,0.98,67.6
Nacho,Real Betis Sevilla,La Liga,174,Spain,42.0,Defender,Left-Back,Left,No Agent,,Spain,,2500000.0,1990,28,17,1555,17.3,0.17,0.58,0.17,30.0,0.3,1.0,12.8,0.0,0.0,0.0,55.0,59.2,92.9,1040.2,313.0,21.0,22.0,95.3,25.8,27.5,93.9,6.99,8.03,87.1,0.0,0.46,2.72,0.23,0.12,2.31,59.2,55.4,3.82,1.16,0.0,4.45,0.64,0.35,0.0,0.0,0.0,0.0,49.0,5.03,5.14,11.6,43.1,1.33,2.25,0.17,55.0,0.12,0.69,0.52,0.52,1.04,0.98,0.0,0.0,0.06,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.1,0.64,0.64,0.35,0.12,0.46,1.27,36.4,0.81,7.28,2.14,29.4,3.35,3.35,0.58,1.33,0.92,0.0,0.4,2.14,3.24,3.64,0.0,68.7,9.65,32.1,32.9,6.71,0.81,65.0,0.17,0.29,60.0,0.17,0.0,44.5,182.2,93.1,1.91,0.98,0.0,0.29,0.17,49.0,48.0,98.0,0.52,0.4,0.0,0.0,0.98,0.87,0.0,0.35,0.64,0.0,0.0,0.0,7.51,1.97,1.45,57.6
José Ángel,Fc Elche,La Liga,187,Spain,34.0,Defender,Centre-Back,Right,No Agent,2023-06-30,Spain,250000.0,400000.0,1989,23,12,1083,12.0,0.08,0.92,0.25,27.3,0.09,0.33,27.4,0.0,0.0,0.0,49.9,65.7,76.0,1127.1,509.6,17.2,20.3,84.8,21.8,26.3,83.2,10.6,17.8,59.3,0.08,0.67,5.42,1.83,0.92,6.0,65.7,53.1,12.6,1.58,0.0,7.58,4.75,2.67,0.0,0.0,0.0,0.0,32.0,11.3,22.3,44.1,6.67,2.33,11.0,0.33,49.9,0.17,1.33,3.08,1.33,1.33,1.17,0.08,0.0,0.08,0.0,0.0,0.17,0.08,0.0,0.0,0.08,0.0,0.0,2.42,2.0,1.0,1.17,0.25,1.08,1.75,61.9,0.67,9.75,3.17,32.5,3.75,4.67,1.33,1.33,0.08,0.0,1.25,1.5,3.92,1.83,0.0,75.7,2.75,17.1,42.8,20.7,0.58,63.5,1.08,2.0,54.2,1.17,0.17,46.5,229.5,108.3,5.42,1.75,0.0,0.42,1.33,47.3,44.3,93.7,0.92,0.17,0.08,0.0,0.75,0.58,0.0,2.67,2.0,0.0,0.0,0.0,10.6,1.33,0.42,76.2
David García,Ud Las Palmas,La Liga,183,Spain,41.0,Defender,Centre-Back,Right,No Agent,2023-06-30,Spain,50000.0,1500000.0,1994,35,35,3105,34.5,0.12,0.9,0.12,12.9,0.13,1.0,11.5,0.0,0.0,0.0,34.1,41.2,82.8,790.2,277.8,8.06,9.42,85.5,18.4,20.8,88.4,7.45,10.6,70.2,0.0,0.23,2.93,0.06,0.0,2.9,41.2,40.1,1.1,1.07,0.03,6.09,1.62,0.06,0.0,0.0,0.0,0.0,26.8,3.91,10.6,10.9,23.9,3.83,0.0,0.14,34.1,0.14,0.7,0.96,0.14,0.55,0.43,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.67,0.58,0.38,0.06,0.26,0.64,40.9,0.38,7.83,2.75,35.2,4.0,3.51,0.32,1.33,0.72,0.03,0.61,2.12,3.13,5.91,0.03,52.0,7.13,24.3,28.0,2.43,1.54,50.9,0.09,0.09,100.0,0.09,0.0,25.9,141.8,76.7,2.26,0.12,0.0,0.23,0.09,28.6,28.0,97.9,0.17,0.23,0.0,0.0,1.8,0.67,0.0,0.06,0.67,0.0,0.03,0.0,11.0,4.61,1.42,76.4
David García,Ca Osasuna,La Liga,186,Spain,29.0,Defender,Centre-Back,Both,YOU FIRST,2026-06-30,Spain,20000000.0,20000000.0,1994,35,35,3105,34.5,0.12,0.9,0.12,12.9,0.13,1.0,11.5,0.0,0.0,0.0,34.1,41.2,82.8,790.2,277.8,8.06,9.42,85.5,18.4,20.8,88.4,7.45,10.6,70.2,0.0,0.23,2.93,0.06,0.0,2.9,41.2,40.1,1.1,1.07,0.03,6.09,1.62,0.06,0.0,0.0,0.0,0.0,26.8,3.91,10.6,10.9,23.9,3.83,0.0,0.14,34.1,0.14,0.7,0.96,0.14,0.55,0.43,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.67,0.58,0.38,0.06,0.26,0.64,40.9,0.38,7.83,2.75,35.2,4.0,3.51,0.32,1.33,0.72,0.03,0.61,2.12,3.13,5.91,0.03,52.0,7.13,24.3,28.0,2.43,1.54,50.9,0.09,0.09,100.0,0.09,0.0,25.9,141.8,76.7,2.26,0.12,0.0,0.23,0.09,28.6,28.0,97.9,0.17,0.23,0.0,0.0,1.8,0.67,0.0,0.06,0.67,0.0,0.03,0.0,11.0,4.61,1.42,76.4
Óscar Gil,Athletic Bilbao,La Liga,184,Spain,27.0,Defender,Centre-Back,Right,No Agent,2024-06-30,Spain,300000.0,700000.0,1997,22,20,1688,18.8,0.0,0.32,0.05,16.7,0.0,0.0,23.7,0.0,0.0,0.0,33.3,39.4,84.6,555.9,172.0,17.2,18.9,91.3,12.4,14.1,88.0,2.98,5.05,58.9,0.11,0.85,1.7,0.48,0.32,1.6,39.4,30.9,8.51,0.85,0.05,4.73,0.96,1.28,0.0,0.0,0.0,0.0,23.7,9.57,6.06,2.23,28.1,0.9,7.66,0.16,33.3,0.05,0.43,0.85,0.8,1.06,0.85,0.21,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.93,1.6,1.6,1.12,0.21,1.17,2.39,48.9,1.22,18.5,4.95,26.7,9.84,6.01,2.66,2.82,0.53,0.0,2.29,1.7,4.63,1.33,0.05,52.7,3.35,18.4,21.7,15.1,0.85,44.3,0.64,1.81,35.3,0.74,0.16,29.6,125.6,64.4,2.55,1.12,0.21,1.49,0.74,32.7,28.6,87.5,1.97,0.37,0.0,0.0,1.91,1.49,0.11,1.28,1.6,0.0,0.0,0.0,5.53,0.37,1.33,21.9
Óscar Gil,Espanyol Barcelona,La Liga,175,Spain,25.0,Defender,Right-Back,Both,InterStarDeporte,2024-06-30,Spain,3000000.0,3000000.0,1997,22,20,1688,18.8,0.0,0.32,0.05,16.7,0.0,0.0,23.7,0.0,0.0,0.0,33.3,39.4,84.6,555.9,172.0,17.2,18.9,91.3,12.4,14.1,88.0,2.98,5.05,58.9,0.11,0.85,1.7,0.48,0.32,1.6,39.4,30.9,8.51,0.85,0.05,4.73,0.96,1.28,0.0,0.0,0.0,0.0,23.7,9.57,6.06,2.23,28.1,0.9,7.66,0.16,33.3,0.05,0.43,0.85,0.8,1.06,0.85,0.21,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.93,1.6,1.6,1.12,0.21,1.17,2.39,48.9,1.22,18.5,4.95,26.7,9.84,6.01,2.66,2.82,0.53,0.0,2.29,1.7,4.63,1.33,0.05,52.7,3.35,18.4,21.7,15.1,0.85,44.3,0.64,1.81,35.3,0.74,0.16,29.6,125.6,64.4,2.55,1.12,0.21,1.49,0.74,32.7,28.6,87.5,1.97,0.37,0.0,0.0,1.91,1.49,0.11,1.28,1.6,0.0,0.0,0.0,5.53,0.37,1.33,21.9
Javi López,Espanyol Barcelona,La Liga,180,Spain,37.0,Defender,Right-Back,Right,YOU FIRST,2023-06-30,Spain,250000.0,3000000.0,2002,9,4,462,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,40.2,76.1,610.4,263.3,11.2,12.0,93.4,14.3,17.6,81.1,4.9,9.61,51.0,0.0,0.78,1.96,0.78,0.39,2.75,40.2,30.4,9.8,0.98,0.0,4.51,0.78,1.96,0.0,0.0,0.0,0.0,22.0,6.67,11.6,28.2,0.98,1.57,8.82,0.0,30.6,0.2,0.2,0.98,0.98,1.18,0.78,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.96,1.37,1.37,0.59,0.0,0.59,1.18,50.0,0.59,20.4,4.12,20.2,11.6,6.86,1.96,2.94,0.2,0.0,2.75,1.96,3.92,3.14,0.0,54.7,5.29,17.8,29.2,9.8,0.0,45.3,0.59,1.76,33.3,0.59,0.2,29.2,134.3,59.8,2.16,0.59,0.0,0.39,1.18,32.9,29.8,90.5,0.78,0.39,0.0,0.0,1.57,2.35,0.0,1.96,1.37,0.0,0.0,0.0,3.73,0.59,1.18,33.3
Javi López,Deportivo Alaves,La Liga,183,Spain,21.0,Defender,Left-Back,Left,Gesport Espizua SL,2025-06-30,Spain,700000.0,800000.0,2002,9,4,462,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,40.2,76.1,610.4,263.3,11.2,12.0,93.4,14.3,17.6,81.1,4.9,9.61,51.0,0.0,0.78,1.96,0.78,0.39,2.75,40.2,30.4,9.8,0.98,0.0,4.51,0.78,1.96,0.0,0.0,0.0,0.0,22.0,6.67,11.6,28.2,0.98,1.57,8.82,0.0,30.6,0.2,0.2,0.98,0.98,1.18,0.78,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.96,1.37,1.37,0.59,0.0,0.59,1.18,50.0,0.59,20.4,4.12,20.2,11.6,6.86,1.96,2.94,0.2,0.0,2.75,1.96,3.92,3.14,0.0,54.7,5.29,17.8,29.2,9.8,0.0,45.3,0.59,1.76,33.3,0.59,0.2,29.2,134.3,59.8,2.16,0.59,0.0,0.39,1.18,32.9,29.8,90.5,0.78,0.39,0.0,0.0,1.57,2.35,0.0,1.96,1.37,0.0,0.0,0.0,3.73,0.59,1.18,33.3
Danilo,Fc Bologna,Serie A,185,Brazil,38.0,Defender,Centre-Back,Right,No Agent,,Brazil,,7500000.0,1991,22,22,1893,21.0,0.05,0.67,0.14,21.4,0.07,0.33,19.0,0.0,0.0,0.0,60.1,69.0,87.0,1190.0,441.3,20.5,21.8,94.1,30.9,33.8,91.3,7.95,11.9,66.8,0.1,0.71,6.0,0.76,0.24,4.57,69.0,60.2,8.81,1.76,0.0,5.29,1.48,0.62,0.0,0.0,0.0,0.0,48.1,11.0,10.0,5.29,54.1,1.57,7.0,0.29,60.1,0.38,1.0,1.33,1.0,1.76,1.43,0.1,0.0,0.14,0.1,0.0,0.14,0.1,0.0,0.0,0.05,0.0,0.0,1.81,1.05,1.05,0.62,0.14,0.76,1.33,57.1,0.57,7.71,2.57,33.3,3.52,3.1,1.1,1.43,0.62,0.0,0.81,1.86,3.67,3.05,0.0,78.5,5.52,28.1,43.7,10.8,0.81,70.0,0.19,0.43,44.4,0.19,0.05,49.1,190.2,105.8,3.76,1.24,0.14,0.38,0.38,53.5,52.2,97.7,0.71,0.29,0.0,0.0,1.0,0.52,0.0,0.62,1.05,0.0,0.0,0.0,8.48,1.9,1.1,63.5
